config_id,mean_loss,mean_accuracy,std_accuracy,max_hidden_units,use_bias,weight_init,learning_rate,batch_size,max_epochs,seed,training_time,fold_accuracies,fold_losses
1,0.5799071717440331,70.22841656987998,5.969345594069623,4,True,xavier,0.05,8,200,42,0.20203375816345215,"['61.90%', '73.17%', '75.61%']","['0.575644', '0.564194', '0.599883']"
2,0.5796047686674837,70.22841656987998,5.969345594069623,4,True,xavier,0.05,8,300,42,0.2662167549133301,"['61.90%', '73.17%', '75.61%']","['0.575644', '0.564194', '0.598976']"
3,0.5640080043812692,71.8737901664731,8.956947262016913,4,True,xavier,0.05,16,200,42,0.22773265838623047,"['59.52%', '80.49%', '75.61%']","['0.576045', '0.510190', '0.605788']"
4,0.5614663435717349,67.77003484320558,3.8721447336050274,4,True,xavier,0.05,16,300,42,0.33230113983154297,"['64.29%', '65.85%', '73.17%']","['0.571494', '0.510071', '0.602834']"
5,0.5636241564957154,69.4347657762292,7.078488556751059,4,True,xavier,0.1,8,200,42,0.27706003189086914,"['59.52%', '73.17%', '75.61%']","['0.581437', '0.508446', '0.600989']"
6,0.5666109169960817,69.4347657762292,7.078488556751059,4,True,xavier,0.1,8,300,42,0.2934269905090332,"['59.52%', '73.17%', '75.61%']","['0.581437', '0.508318', '0.610078']"
7,0.5620570831562263,71.85443283004258,7.105592803563633,4,True,xavier,0.1,16,200,42,0.2644639015197754,"['61.90%', '78.05%', '75.61%']","['0.579941', '0.508187', '0.598043']"
8,0.558961267095729,66.18273325590398,10.123239220412023,4,True,xavier,0.1,16,300,42,0.39626073837280273,"['59.52%', '58.54%', '80.49%']","['0.572003', '0.507976', '0.596905']"
9,0.5751889751040604,71.85443283004258,7.105592803563633,4,True,xavier,0.2,8,200,42,0.3032550811767578,"['61.90%', '78.05%', '75.61%']","['0.597815', '0.514451', '0.613301']"
10,0.5620800476560958,67.78939217963608,8.987142472193211,4,True,xavier,0.2,8,300,42,0.44844841957092285,"['61.90%', '60.98%', '80.49%']","['0.574966', '0.510454', '0.600820']"
11,0.5673115585016382,71.0607820363918,8.218414732015344,4,True,xavier,0.2,16,200,42,0.2629694938659668,"['59.52%', '78.05%', '75.61%']","['0.593194', '0.510631', '0.598110']"
12,0.560953491726161,65.35036778939218,5.542827183873352,4,True,xavier,0.2,16,300,42,0.3164339065551758,"['61.90%', '60.98%', '73.17%']","['0.575713', '0.506221', '0.600926']"
13,0.5614320427136873,71.79636082075108,1.9436539475123829,4,True,he,0.05,8,200,42,0.2987480163574219,"['69.05%', '73.17%', '73.17%']","['0.576532', '0.509316', '0.598448']"
14,0.5631761722772612,72.60936895083238,3.907210149304358,4,True,he,0.05,8,300,42,0.3092203140258789,"['69.05%', '70.73%', '78.05%']","['0.572569', '0.508158', '0.608802']"
15,0.562679846106613,71.81571815718156,3.7746309694265947,4,True,he,0.05,16,200,42,0.2629055976867676,"['66.67%', '75.61%', '73.17%']","['0.576152', '0.511154', '0.600733']"
16,0.5749898192632744,71.79636082075108,4.431857842661415,4,True,he,0.05,16,300,42,0.23493218421936035,"['69.05%', '78.05%', '68.29%']","['0.571707', '0.511758', '0.641505']"
17,0.5673594415312557,66.93766937669376,1.0139992918086569,4,True,he,0.1,8,200,42,0.22175097465515137,"['66.67%', '68.29%', '65.85%']","['0.581444', '0.507577', '0.613058']"
18,0.5648474901699904,71.00271002710026,5.026351488073554,4,True,he,0.1,8,300,42,0.30920886993408203,"['66.67%', '68.29%', '78.05%']","['0.581444', '0.507683', '0.605415']"
19,0.5623582085201566,70.18970189701896,2.682789955721323,4,True,he,0.1,16,200,42,0.2607848644256592,"['66.67%', '70.73%', '73.17%']","['0.579948', '0.511444', '0.595683']"
20,0.5610138746232952,69.37669376693766,2.7636962133294256,4,True,he,0.1,16,300,42,0.3593127727508545,"['66.67%', '68.29%', '73.17%']","['0.575418', '0.506880', '0.600744']"
21,0.571935269665607,70.17034456058848,0.7938868236318183,4,True,he,0.2,8,200,42,0.29666614532470703,"['69.05%', '70.73%', '70.73%']","['0.597816', '0.520679', '0.597311']"
22,0.5617567071324109,69.35733643050717,1.0195272227846446,4,True,he,0.2,8,300,42,0.45036983489990234,"['69.05%', '68.29%', '70.73%']","['0.574966', '0.510660', '0.599644']"
23,0.5677840641457533,68.58304297328688,3.038670255970063,4,True,he,0.2,16,200,42,0.26380181312561035,"['64.29%', '70.73%', '70.73%']","['0.593192', '0.516463', '0.593698']"
24,0.5609705060584474,66.12466124661246,7.975034671849408,4,True,he,0.2,16,300,42,0.31928586959838867,"['66.67%', '56.10%', '75.61%']","['0.575716', '0.506224', '0.600971']"
25,0.5632481079651167,67.75067750677506,6.023336252274491,5,True,xavier,0.05,8,200,42,0.25656580924987793,"['66.67%', '75.61%', '60.98%']","['0.579972', '0.507672', '0.602101']"
26,0.5621754069132305,75.06775067750677,6.649238019721031,5,True,xavier,0.05,8,300,42,0.2754018306732178,"['66.67%', '75.61%', '82.93%']","['0.579972', '0.507330', '0.599225']"
27,0.563286602548652,66.91831204026326,2.4965711452424104,5,True,xavier,0.05,16,200,42,0.22322678565979004,"['69.05%', '68.29%', '63.41%']","['0.575729', '0.510178', '0.603953']"
28,0.5618351550078137,70.98335269066978,7.103219376270441,5,True,xavier,0.05,16,300,42,0.32977819442749023,"['69.05%', '63.41%', '80.49%']","['0.571931', '0.510622', '0.602953']"
29,0.5626441253911677,69.37669376693766,2.7636962133294256,5,True,xavier,0.1,8,200,42,0.30060601234436035,"['66.67%', '68.29%', '73.17%']","['0.576325', '0.509129', '0.602478']"
30,0.5596534143487539,67.73132017034456,7.031963773097926,5,True,xavier,0.1,8,300,42,0.4316980838775635,"['69.05%', '58.54%', '75.61%']","['0.574057', '0.506867', '0.598036']"
31,0.5574492266745968,71.79636082075108,6.282581517569696,5,True,xavier,0.1,16,200,42,0.24771404266357422,"['69.05%', '80.49%', '65.85%']","['0.572573', '0.505874', '0.593900']"
32,0.558242968519039,75.04839334107628,4.687274194878969,5,True,xavier,0.1,16,300,42,0.2947664260864258,"['69.05%', '80.49%', '75.61%']","['0.572573', '0.507476', '0.594679']"
33,0.5662751991682137,70.18970189701896,3.8896206217906046,5,True,xavier,0.2,8,200,42,0.299302339553833,"['66.67%', '68.29%', '75.61%']","['0.580844', '0.520674', '0.597308']"
34,0.5632771593602942,71.00271002710026,3.6560264399002858,5,True,xavier,0.2,8,300,42,0.411912202835083,"['66.67%', '70.73%', '75.61%']","['0.580839', '0.507202', '0.601791']"
35,0.5644796831338296,68.60240030971738,5.599324965214489,5,True,xavier,0.2,16,200,42,0.2668418884277344,"['61.90%', '68.29%', '75.61%']","['0.583418', '0.516454', '0.593566']"
