config_id,mean_loss,mean_accuracy,std_accuracy,max_hidden_units,use_bias,weight_init,learning_rate,batch_size,max_epochs,seed,training_time,fold_accuracies,fold_losses
1,0.6256038990700556,0.734,0.05351635264103862,3,True,uniform,0.01,8,50,42,0.13842010498046875,"[0.8, 0.64, 0.72, 0.76, 0.75]","[np.float64(0.6674359923940939), np.float64(0.6378439242524931), np.float64(0.5809506334434626), np.float64(0.6341457502469602), np.float64(0.607643195013268)]"
2,0.6216840078892882,0.6936666666666667,0.047050799969583695,3,True,uniform,0.01,8,50,123,0.1390690803527832,"[0.64, 0.64, 0.72, 0.76, 0.7083333333333334]","[np.float64(0.6150137534782734), np.float64(0.648395448110409), np.float64(0.5872726412296279), np.float64(0.6377490603251851), np.float64(0.6199891363029457)]"
3,0.6348160662357933,0.718,0.04214261501141095,3,True,uniform,0.01,8,50,456,0.12752771377563477,"[0.72, 0.64, 0.72, 0.76, 0.75]","[np.float64(0.6197227995272269), np.float64(0.6399882452573811), np.float64(0.6501543628722185), np.float64(0.6315666651071167), np.float64(0.6326482584150239)]"
4,0.6331836358595234,0.734,0.05351635264103862,3,True,uniform,0.01,8,100,42,0.12912583351135254,"[0.8, 0.64, 0.72, 0.76, 0.75]","[np.float64(0.6674359923940939), np.float64(0.6253211550976154), np.float64(0.5969931926500452), np.float64(0.6637406013912436), np.float64(0.6124272377646187)]"
5,0.6055586218724958,0.7096666666666667,0.03899287684237268,3,True,uniform,0.01,8,100,123,0.19903087615966797,"[0.72, 0.64, 0.72, 0.76, 0.7083333333333334]","[np.float64(0.5973596045410641), np.float64(0.6315475176988389), np.float64(0.5560572842437175), np.float64(0.6195818651423478), np.float64(0.6232468377365108)]"
6,0.6179685953528147,0.7176666666666667,0.05081119736610995,3,True,uniform,0.01,8,100,456,0.17114615440368652,"[0.72, 0.64, 0.72, 0.8, 0.7083333333333334]","[np.float64(0.593718637046092), np.float64(0.6174144217967906), np.float64(0.574654085224641), np.float64(0.6550641373087469), np.float64(0.6489916953878025)]"
7,0.6331836358595234,0.734,0.05351635264103862,3,True,uniform,0.01,8,150,42,0.12776684761047363,"[0.8, 0.64, 0.72, 0.76, 0.75]","[np.float64(0.6674359923940939), np.float64(0.6253211550976154), np.float64(0.5969931926500452), np.float64(0.6637406013912436), np.float64(0.6124272377646187)]"
8,0.6041698981873813,0.7013333333333333,0.04266666666666667,3,True,uniform,0.01,8,150,123,0.22928333282470703,"[0.72, 0.64, 0.72, 0.76, 0.6666666666666666]","[np.float64(0.5973596045410641), np.float64(0.6315475176988389), np.float64(0.5476935239205215), np.float64(0.6596937153276565), np.float64(0.5845551294488255)]"
9,0.6179685953528147,0.7176666666666667,0.05081119736610995,3,True,uniform,0.01,8,150,456,0.1701498031616211,"[0.72, 0.64, 0.72, 0.8, 0.7083333333333334]","[np.float64(0.593718637046092), np.float64(0.6174144217967906), np.float64(0.574654085224641), np.float64(0.6550641373087469), np.float64(0.6489916953878025)]"
10,0.6701671143746063,0.7336666666666667,0.041957650606825506,3,True,uniform,0.01,16,50,42,0.13202261924743652,"[0.8, 0.68, 0.72, 0.76, 0.7083333333333334]","[np.float64(0.6561190206052007), np.float64(0.6922076261263096), np.float64(0.6390636827303215), np.float64(0.680130201877384), np.float64(0.683315040533816)]"
11,0.6750408919632952,0.7016666666666667,0.05376905347047789,3,True,uniform,0.01,16,50,123,0.12534499168395996,"[0.64, 0.64, 0.76, 0.76, 0.7083333333333334]","[np.float64(0.6586293348047751), np.float64(0.6788643828906603), np.float64(0.6747831062652964), np.float64(0.6835477858923941), np.float64(0.6793798499633502)]"
12,0.6690466516960162,0.7256666666666667,0.047276961737310386,3,True,uniform,0.01,16,50,456,0.13294482231140137,"[0.76, 0.68, 0.68, 0.8, 0.7083333333333334]","[np.float64(0.6667356183911135), np.float64(0.6853081999906679), np.float64(0.6278353665603008), np.float64(0.6832677417525391), np.float64(0.6820863317854592)]"
13,0.652577216317159,0.734,0.06437390775772432,3,True,uniform,0.01,16,100,42,0.16298818588256836,"[0.8, 0.64, 0.68, 0.8, 0.75]","[np.float64(0.6395902980259188), np.float64(0.6537592848871675), np.float64(0.6716335651597184), np.float64(0.6391885081288062), np.float64(0.6587144253841841)]"
14,0.6332346119757168,0.71,0.05727128425310541,3,True,uniform,0.01,16,100,123,0.19706940650939941,"[0.64, 0.64, 0.76, 0.76, 0.75]","[np.float64(0.615552148546322), np.float64(0.6729568793322166), np.float64(0.5986553874531065), np.float64(0.6550091720838572), np.float64(0.6239994724630819)]"
15,0.6360448353172217,0.726,0.04543126676640219,3,True,uniform,0.01,16,100,456,0.2029426097869873,"[0.76, 0.64, 0.72, 0.76, 0.75]","[np.float64(0.6382706956998223), np.float64(0.6470782151800714), np.float64(0.6639549571420108), np.float64(0.6307516516110542), np.float64(0.6001686569531498)]"
16,0.652577216317159,0.734,0.06437390775772432,3,True,uniform,0.01,16,150,42,0.16614842414855957,"[0.8, 0.64, 0.68, 0.8, 0.75]","[np.float64(0.6395902980259188), np.float64(0.6537592848871675), np.float64(0.6716335651597184), np.float64(0.6391885081288062), np.float64(0.6587144253841841)]"
17,0.627418322550403,0.6936666666666667,0.047050799969583695,3,True,uniform,0.01,16,150,123,0.261993408203125,"[0.64, 0.64, 0.72, 0.76, 0.7083333333333334]","[np.float64(0.6062249456201521), np.float64(0.6375521530999015), np.float64(0.5942669739470007), np.float64(0.6686478196929171), np.float64(0.6303997203920435)]"
18,0.6360448353172217,0.726,0.04543126676640219,3,True,uniform,0.01,16,150,456,0.20049667358398438,"[0.76, 0.64, 0.72, 0.76, 0.75]","[np.float64(0.6382706956998223), np.float64(0.6470782151800714), np.float64(0.6639549571420108), np.float64(0.6307516516110542), np.float64(0.6001686569531498)]"
19,0.742932992804114,0.742,0.04019950248448356,3,True,uniform,0.01,32,50,42,0.11890482902526855,"[0.8, 0.72, 0.68, 0.76, 0.75]","[np.float64(0.7153873059650913), np.float64(0.7679926952430678), np.float64(0.7103700864186048), np.float64(0.7402479573807429), np.float64(0.780666919013063)]"
20,0.7295124247117534,0.6936666666666668,0.05342076167350835,3,True,uniform,0.01,32,50,123,0.12279558181762695,"[0.6, 0.76, 0.72, 0.68, 0.7083333333333334]","[np.float64(0.7215565693634465), np.float64(0.751777102609256), np.float64(0.675637610541632), np.float64(0.7507935280010283), np.float64(0.7477973130434044)]"
21,0.7345332778217271,0.7016666666666667,0.053769053470477904,3,True,uniform,0.01,32,50,456,0.1249392032623291,"[0.68, 0.68, 0.64, 0.8, 0.7083333333333334]","[np.float64(0.7273146472723891), np.float64(0.7494578639426653), np.float64(0.6923940802039417), np.float64(0.7538899755261835), np.float64(0.7496098221634562)]"
22,0.6915031905352369,0.7336666666666667,0.02191904296369813,3,True,uniform,0.01,32,100,42,0.18009638786315918,"[0.72, 0.72, 0.76, 0.76, 0.7083333333333334]","[np.float64(0.664758328005063), np.float64(0.7245970362379363), np.float64(0.6811306219639173), np.float64(0.6859473214297483), np.float64(0.7010826450395194)]"
23,0.7152867703353836,0.6856666666666666,0.06788552455748167,3,True,uniform,0.01,32,100,123,0.1567072868347168,"[0.6, 0.68, 0.64, 0.8, 0.7083333333333334]","[np.float64(0.7215565693634465), np.float64(0.6746503039614439), np.float64(0.7593561284499035), np.float64(0.6881368687294176), np.float64(0.732733981172706)]"
24,0.6799754160939062,0.7336666666666667,0.041957650606825506,3,True,uniform,0.01,32,100,456,0.19149279594421387,"[0.8, 0.68, 0.72, 0.76, 0.7083333333333334]","[np.float64(0.6670012264980104), np.float64(0.717840415158856), np.float64(0.6582460327440236), np.float64(0.6738523001150474), np.float64(0.6829371059535938)]"
25,0.6915031905352369,0.7336666666666667,0.02191904296369813,3,True,uniform,0.01,32,150,42,0.17771506309509277,"[0.72, 0.72, 0.76, 0.76, 0.7083333333333334]","[np.float64(0.664758328005063), np.float64(0.7245970362379363), np.float64(0.6811306219639173), np.float64(0.6859473214297483), np.float64(0.7010826450395194)]"
26,0.7152867703353836,0.6856666666666666,0.06788552455748167,3,True,uniform,0.01,32,150,123,0.15451264381408691,"[0.6, 0.68, 0.64, 0.8, 0.7083333333333334]","[np.float64(0.7215565693634465), np.float64(0.6746503039614439), np.float64(0.7593561284499035), np.float64(0.6881368687294176), np.float64(0.732733981172706)]"
