config_id,final_loss,accuracy,accuracy_error,max_hidden_units,use_bias,weight_init_range,learning_rate,batch_size,seed,training_time,actual_hidden_units
1,0.6428427822838443,0.7060185185185185,0.04296177648388593,3,True,"(-0.1, 0.1)",0.01,8,42,0.027508974075317383,1
2,0.6337231402949483,0.7129629629629629,0.04265958752691199,3,True,"(-0.1, 0.1)",0.01,8,123,0.031172513961791992,1
3,0.6066108467617799,0.7083333333333334,0.04286239526652166,3,True,"(-0.1, 0.1)",0.01,8,456,0.05373668670654297,3
4,0.6881568457411372,0.7060185185185185,0.04296177648388593,3,True,"(-0.1, 0.1)",0.01,16,42,0.029018878936767578,1
5,0.6263067377713777,0.7083333333333334,0.04286239526652166,3,True,"(-0.1, 0.1)",0.01,16,123,0.055985212326049805,3
6,0.6632718514231234,0.6921296296296297,0.04353032060400154,3,True,"(-0.1, 0.1)",0.01,16,456,0.037467241287231445,2
7,0.7319534247336411,0.6967592592592593,0.04334603194892665,3,True,"(-0.1, 0.1)",0.01,32,42,0.0326390266418457,2
8,0.6814080131625205,0.7083333333333334,0.04286239526652166,3,True,"(-0.1, 0.1)",0.01,32,123,0.05244016647338867,3
9,0.6640936036124213,0.6898148148148148,0.04362053444917033,3,True,"(-0.1, 0.1)",0.01,32,456,0.06520485877990723,3
10,0.6001282101429983,0.7129629629629629,0.04265958752691199,3,True,"(-0.1, 0.1)",0.05,8,42,0.049057960510253906,2
11,0.6014045573026015,0.7013888888888888,0.04315654019155662,3,True,"(-0.1, 0.1)",0.05,8,123,0.03075861930847168,1
12,0.6141093164369918,0.7129629629629629,0.04265958752691199,3,True,"(-0.1, 0.1)",0.05,8,456,0.015472412109375,0
13,0.5853301642674615,0.7060185185185185,0.04296177648388593,3,True,"(-0.1, 0.1)",0.05,16,42,0.07053351402282715,3
14,0.5905687922349635,0.7129629629629629,0.04265958752691199,3,True,"(-0.1, 0.1)",0.05,16,123,0.05044817924499512,3
15,0.6011753337521613,0.7060185185185185,0.04296177648388593,3,True,"(-0.1, 0.1)",0.05,16,456,0.025224685668945312,1
16,0.6080996362026967,0.7060185185185185,0.04296177648388593,3,True,"(-0.1, 0.1)",0.05,32,42,0.04782247543334961,2
17,0.5913241363821029,0.7152777777777778,0.04255614172615777,3,True,"(-0.1, 0.1)",0.05,32,123,0.06397247314453125,3
18,0.6045483684135937,0.7037037037037037,0.043059821757163316,3,True,"(-0.1, 0.1)",0.05,32,456,0.03527402877807617,2
19,0.6120974836010324,0.6481481481481481,0.04503303951737602,3,True,"(-0.1, 0.1)",0.1,8,42,0.07924175262451172,3
20,0.6223346828723203,0.7314814814814815,0.04179294612103568,3,True,"(-0.1, 0.1)",0.1,8,123,0.07971477508544922,3
21,0.5987873353597233,0.5972222222222222,0.04625033984477027,3,True,"(-0.1, 0.1)",0.1,8,456,0.07840490341186523,3
22,0.5842134660211308,0.6875,0.043709471969068846,3,True,"(-0.1, 0.1)",0.1,16,42,0.07159686088562012,3
23,0.6028974805931732,0.7083333333333334,0.04286239526652166,3,True,"(-0.1, 0.1)",0.1,16,123,0.07192349433898926,3
24,0.5918083232042072,0.6736111111111112,0.0442167178128923,3,True,"(-0.1, 0.1)",0.1,16,456,0.06791877746582031,3
25,0.6018012041393246,0.7083333333333334,0.04286239526652166,3,True,"(-0.1, 0.1)",0.1,32,42,0.022043704986572266,1
26,0.6011959556747791,0.7106481481481481,0.042761668790578904,3,True,"(-0.1, 0.1)",0.1,32,123,0.02534317970275879,1
27,0.5922725773982616,0.7037037037037037,0.043059821757163316,3,True,"(-0.1, 0.1)",0.1,32,456,0.04364919662475586,3
28,0.5974623444728246,0.7361111111111112,0.04156199988267923,3,True,"(-0.5, 0.5)",0.01,8,42,0.05771803855895996,3
29,0.6246520931722979,0.7060185185185185,0.04296177648388593,3,True,"(-0.5, 0.5)",0.01,8,123,0.03194761276245117,1
30,0.6091704100473869,0.6064814814814815,0.04606865760039766,3,True,"(-0.5, 0.5)",0.01,8,456,0.050392866134643555,3
31,0.6175407392835646,0.7337962962962963,0.04167820461154819,3,True,"(-0.5, 0.5)",0.01,16,42,0.06026887893676758,3
32,0.653348751657402,0.7175925925925926,0.04245132141296492,3,True,"(-0.5, 0.5)",0.01,16,123,0.036617279052734375,2
33,0.6315227154214684,0.5856481481481481,0.04645337015720498,3,True,"(-0.5, 0.5)",0.01,16,456,0.05856060981750488,3
34,0.6666249349421794,0.7222222222222222,0.042237516181770254,3,True,"(-0.5, 0.5)",0.01,32,42,0.06407928466796875,3
35,0.6562431370454191,0.7291666666666666,0.04190623643026144,3,True,"(-0.5, 0.5)",0.01,32,123,0.06271910667419434,3
36,0.6834359453229809,0.5601851851851852,0.046807444885269014,3,True,"(-0.5, 0.5)",0.01,32,456,0.06189084053039551,3
37,0.6109671462940687,0.7083333333333334,0.04286239526652166,3,True,"(-0.5, 0.5)",0.05,8,42,0.01523137092590332,0
38,0.6011499146378227,0.7060185185185185,0.04296177648388593,3,True,"(-0.5, 0.5)",0.05,8,123,0.030529260635375977,1
39,0.5914575515055346,0.5555555555555556,0.0468583170281885,3,True,"(-0.5, 0.5)",0.05,8,456,0.07883739471435547,3
40,0.5995538556317771,0.6805555555555556,0.04396870347192746,3,True,"(-0.5, 0.5)",0.05,16,42,0.022899389266967773,1
41,0.6209358337064633,0.7175925925925926,0.04245132141296492,3,True,"(-0.5, 0.5)",0.05,16,123,0.014954805374145508,0
42,0.6025138037537424,0.7013888888888888,0.04315654019155662,3,True,"(-0.5, 0.5)",0.05,16,456,0.02437305450439453,1
43,0.594172745246049,0.7430555555555556,0.041204481803583874,3,True,"(-0.5, 0.5)",0.05,32,42,0.04409933090209961,3
44,0.6166700425465238,0.7060185185185185,0.04296177648388593,3,True,"(-0.5, 0.5)",0.05,32,123,0.023535490036010742,1
45,0.5994739304039887,0.6157407407407407,0.04586963807879957,3,True,"(-0.5, 0.5)",0.05,32,456,0.04522514343261719,3
46,0.6120932091422772,0.6875,0.043709471969068846,3,True,"(-0.5, 0.5)",0.1,8,42,0.07707810401916504,3
47,0.6223288171628679,0.7384259259259259,0.041444319626373946,3,True,"(-0.5, 0.5)",0.1,8,123,0.0787804126739502,3
48,0.5987874334018431,0.5277777777777778,0.04707745298749356,3,True,"(-0.5, 0.5)",0.1,8,456,0.07846212387084961,3
49,0.5842080055359644,0.7268518518518519,0.04201808727752391,3,True,"(-0.5, 0.5)",0.1,16,42,0.06717586517333984,3
50,0.6028798990077232,0.7199074074074074,0.042345116380007104,3,True,"(-0.5, 0.5)",0.1,16,123,0.06859874725341797,3
51,0.5918111174341018,0.5902777777777778,0.0463753472478825,3,True,"(-0.5, 0.5)",0.1,16,456,0.0667421817779541,3
52,0.6359953441853236,0.7037037037037037,0.043059821757163316,3,True,"(-0.5, 0.5)",0.1,32,42,0.0206301212310791,0
53,0.597074730101466,0.7083333333333334,0.04286239526652166,3,True,"(-0.5, 0.5)",0.1,32,123,0.02456212043762207,1
54,0.5924389338635817,0.6134259259259259,0.045921030320829205,3,True,"(-0.5, 0.5)",0.1,32,456,0.043358564376831055,3
55,0.6039032854854545,0.7337962962962963,0.04167820461154819,3,True,"(-1.0, 1.0)",0.01,8,42,0.05001950263977051,3
56,0.5985450932747992,0.7268518518518519,0.04201808727752391,3,True,"(-1.0, 1.0)",0.01,8,123,0.05979800224304199,3
57,0.5954357956080173,0.5277777777777778,0.04707745298749356,3,True,"(-1.0, 1.0)",0.01,8,456,0.07783293724060059,3
